video_id,comedian_name,title,content_type,view_count,like_count,duration_seconds,published_at,thumbnail_url,is_duplicate
3tR6mKcBbT4,Dave Chappelle,8:46 - Dave Chappelle,full_special,35456525,947035,1641,2020-06-12T04:59:23Z,https://i.ytimg.com/vi/3tR6mKcBbT4/hqdefault.jpg,false
n3l4hJS0jsc,Netflix Is A Joke,40 Minutes of Black Comedy Excellence,full_special,18403891,237312,2279,2021-02-16T01:50:42Z,https://i.ytimg.com/vi/n3l4hJS0jsc/hqdefault.jpg,false
IcyKZF8PU4c,Page,1 Hour of Dave Chapelle Destroying Arrogant People,full_special,2200108,24387,5829,2025-11-25T15:00:37Z,https://i.ytimg.com/vi/IcyKZF8PU4c/hqdefault.jpg,false
aKqBwUZfOtA,PanDaddyPowa,"Dαve Chαρρelle bϵst skits, ultimαte compilαtion!",full_special,3687038,28380,7935,2024-04-07T03:45:16Z,https://i.ytimg.com/vi/aKqBwUZfOtA/hqdefault.jpg,false
MmtiZ1GohoY,Phil Hanley,Phil Hanley | Live in San Francisco | Full Crowd Work Show,crowd_work_clip,1276182,24755,1605,2024-10-02T21:20:01Z,https://i.ytimg.com/vi/MmtiZ1GohoY/hqdefault.jpg,false
yg8aTu1cyCw,Dave Chappelle,Joe Rogan Experience #1647 - Dave Chappelle,full_special,10894166,124451,11763,2024-06-27T17:35:10Z,https://i.ytimg.com/vi/yg8aTu1cyCw/hqdefault.jpg,false
jqUdnuxQijs,Samay Raina,Prakhar Gupta x Samay Raina | PGX #41 @SamayRainaOfficial,full_special,12343210,379135,4659,2024-08-01T15:30:07Z,https://i.ytimg.com/vi/jqUdnuxQijs/hqdefault.jpg,false
HGQd4262O6s,Prakhar Gupta,@AakashGupta's most unhinged travel stories,full_special,675763,16159,6632,2026-02-06T12:30:33Z,https://i.ytimg.com/vi/HGQd4262O6s/hqdefault.jpg,false
4hLnDkV-kwQ,Pranit More,Delhi Belly | Pranit More | Stand-up Comedy | Crowd Work Special,crowd_work_clip,2620906,42710,2130,2025-12-27T13:30:07Z,https://i.ytimg.com/vi/4hLnDkV-kwQ/hqdefault.jpg,false
OK_1aHz6K2c,Pranit More,Generation Gap | Pranit More | Stand-Up Comedy,full_special,1591301,26408,1887,2026-02-16T13:12:13Z,https://i.ytimg.com/vi/OK_1aHz6K2c/hqdefault.jpg,false
O0PRgYHI0XQ,Pranit More,Ladies Special 2 | Pranit More | Stand-up Comedy | Crowd Work Special,crowd_work_clip,14351650,296850,3302,2026-05-08T13:30:22Z,https://i.ytimg.com/vi/O0PRgYHI0XQ/hqdefault.jpg,false
Kzz_wtyvJ8Q,Pranit More,Ladies Special | Pranit More | Stand-up Comedy | Crowd Work Special,crowd_work_clip,11872466,289494,3834,2026-04-24T13:30:23Z,https://i.ytimg.com/vi/Kzz_wtyvJ8Q/hqdefault.jpg,false
nM2GiLfoZZY,Pranit More,The Last PM Show | Pranit More | Stand-up Comedy,full_special,10816130,326334,3170,2025-12-18T13:30:59Z,https://i.ytimg.com/vi/nM2GiLfoZZY/hqdefault.jpg,false
gATlVX3IMlQ,Pranit More,Date pe Chalein | Pranit More | Stand-up Comedy | Crowd Work Special,crowd_work_clip,7005750,135387,3688,2026-03-20T13:48:00Z,https://i.ytimg.com/vi/gATlVX3IMlQ/hqdefault.jpg,false
SnspIerLmOo,Pranit More,Sigma Male | Pranit More | Stand-Up Comedy | Crowd Work Special,crowd_work_clip,6772712,159996,3698,2024-11-23T13:30:15Z,https://i.ytimg.com/vi/SnspIerLmOo/hqdefault.jpg,false
E7PZLZignvM,Pranit More,Cheater Wife | Pranit More | Stand-up Comedy | Crowd Work Special,crowd_work_clip,6714185,217450,3389,2026-01-09T15:00:34Z,https://i.ytimg.com/vi/E7PZLZignvM/hqdefault.jpg,false
2x9U6q1eCwk,Pranit More,Ladies Special 3 | Pranit More | Stand-up Comedy | Crowd Work Special,crowd_work_clip,6655561,145434,3120,2026-05-29T13:30:24Z,https://i.ytimg.com/vi/2x9U6q1eCwk/hqdefault.jpg,false
nssdB76CyyM,Pranit More,Pride Show | Pranit More | Stand-up Comedy | Crowd Work Special,crowd_work_clip,5724142,132236,3402,2026-06-05T13:30:06Z,https://i.ytimg.com/vi/nssdB76CyyM/hqdefault.jpg,false
7gWd1ljuq60,Pranit More,PRANIT KO GUSSA KYUN AAYA? | Pranit More | Stand-up Comedy | Crowd Work Special,crowd_work_clip,5716052,130098,1549,2025-08-01T13:30:11Z,https://i.ytimg.com/vi/7gWd1ljuq60/hqdefault.jpg,false
_3AKjy3oJl8,Pranit More,Pyar Ka Punchnama | Pranit More | Stand-Up Comedy | Crowd Work Special,crowd_work_clip,5355877,136315,2833,2024-12-20T13:30:30Z,https://i.ytimg.com/vi/_3AKjy3oJl8/hqdefault.jpg,false
3RSAeEmgbf8,Pranit More,Cheater Girlfriend | Pranit More | Stand-up Comedy | Crowd Work Special,crowd_work_clip,3094992,73073,2563,2025-05-20T05:30:01Z,https://i.ytimg.com/vi/3RSAeEmgbf8/hqdefault.jpg,false
