comedian_name,video_id,title,view_count,like_count,duration_seconds,published_at,thumbnail_url
"Comedy Dynamics",QI5GiTnmltM,"Best of Dan Cummins: Get Outta Here; Devil - Stand-Up Comedy",856394,16076,1787,2025-05-25T17:30:04Z,https://i.ytimg.com/vi/QI5GiTnmltM/hqdefault.jpg
"Comedy Network ",y2QBXIUC0Gw,"Dave Chappelle Full Stand up ""Equanimity"" Everything I Say Upsets Somebody!",40414,364,7542,2023-12-23T23:59:16Z,https://i.ytimg.com/vi/y2QBXIUC0Gw/hqdefault.jpg
"Comedy Time",szrOtbQRcPU,"1 Hour Comedy Special | Pete Davidson Taylor Tomlinson Ali Siddiq Jimmy O. Yang  | Comedy Time",24634,306,3997,2025-07-21T22:01:04Z,https://i.ytimg.com/vi/szrOtbQRcPU/hqdefault.jpg
"Comedy Video",f-_gc17AhfU,"दुल्हे नहीं बने तो क्या हुआ?...बरात में तो हम भी नाचे है | Zakir Khan, Anubhav Bassi | #comedy #tkss",2007789,9528,1398,2025-12-31T13:30:44Z,https://i.ytimg.com/vi/f-_gc17AhfU/hqdefault.jpg
"Comic Arvind",NgAI8fxOtKQ,"South Indian From North India | Stand-Up Comedy Special | Arvind Sunder",198545,5664,3294,2026-08-05T16:00:06Z,https://i.ytimg.com/vi/NgAI8fxOtKQ/hqdefault.jpg
"Cracked Comedy Club",k6WNXMLTB5o,"60 Jokes That Are Pure Comedy Gold in 60 Minutes | Full Standup Comedy Compilation",774503,5651,3310,2025-08-22T01:00:06Z,https://i.ytimg.com/vi/k6WNXMLTB5o/hqdefault.jpg
"Cronotrig Multiverse",XOZ4gEMnOks,"Dave Chappelle in Texas. one of the best story tellers to ever live. March 21, 2017",670228,5713,3737,2025-12-12T18:25:23Z,https://i.ytimg.com/vi/XOZ4gEMnOks/hqdefault.jpg
"Crowd Crushers TV",xT1OUWODFNg,"Jeff Arcuri Is One Of The Best | 30 min Crowd Work Highlights #212",342800,4835,1723,2026-04-04T17:59:00Z,https://i.ytimg.com/vi/xT1OUWODFNg/hqdefault.jpg
"Cuộc Sống Miền Quê",hCsMlVYSyvU,"Taylor Tomlinson’s HILARIOUS Take on Dating",22891,267,3703,2025-12-05T20:00:44Z,https://i.ytimg.com/vi/hCsMlVYSyvU/hqdefault.jpg
"Cuộc Sống Miền Quê",q76EmGDFRHg,"Taylor Tomlinson – Funniest Stand Up Comedy Moments (BEST Clips & Highlights)",10740,147,3635,2025-11-11T11:01:37Z,https://i.ytimg.com/vi/q76EmGDFRHg/hqdefault.jpg
"Cuộc Sống Miền Quê",R_8noUfhhvI,"Taylor Tomlinson stand up comedy full",6323,46,3234,2025-12-06T20:00:18Z,https://i.ytimg.com/vi/R_8noUfhhvI/hqdefault.jpg
"Cuộc Sống Miền Quê",O7n3vq4_0Zw,"Taylor Tomlinson Talks About Dating… And It Gets DARK",4629,35,3187,2025-11-07T14:00:45Z,https://i.ytimg.com/vi/O7n3vq4_0Zw/hqdefault.jpg
"Cuộc Sống Miền Quê",quAaUIbxHXA,"Taylor Tomlinson – Funniest Stand Up Comedy Moments (Try Not To Laugh!)",3516,33,3121,2025-11-03T14:01:29Z,https://i.ytimg.com/vi/quAaUIbxHXA/hqdefault.jpg
"Cuộc Sống Miền Quê",TQOnST8cefY,"Taylor Tomlinson’s Therapy Jokes Hurt Because They’re True",1751,20,3559,2025-12-26T02:00:25Z,https://i.ytimg.com/vi/TQOnST8cefY/hqdefault.jpg
"DAVE CHAPPELLE STAND UP",yLXf4LXKHEk,"Dave Chappelle's Full Stand Up 2026 Show",2842,22,3625,2026-06-15T02:00:22Z,https://i.ytimg.com/vi/yLXf4LXKHEk/hqdefault.jpg
"Daily Dose of Comedy & Twitch Clips",5is7HU9-Svc,"8 of Dave Chappelle Funniest Jokes Ever",4857604,43408,1884,2022-01-19T12:49:38Z,https://i.ytimg.com/vi/5is7HU9-Svc/hqdefault.jpg
"Daily Dose of Comedy Clips",1oQIiVM94do,"Dave Chappelle Unforgiven [Full Show] - Explaining the dilemma from Comedy Central and HBO",90167,1504,1423,2021-02-25T06:28:07Z,https://i.ytimg.com/vi/1oQIiVM94do/hqdefault.jpg
"Dark Comedy Cuts",P1S77UakCig,"Louis CK 2026 – Back to Eden: Savage Jokes & Dark Comedy",156400,1738,3976,2026-01-08T01:22:28Z,https://i.ytimg.com/vi/P1S77UakCig/hqdefault.jpg
