comedian_name,video_id,title,view_count,like_count,duration_seconds,published_at,thumbnail_url
"Laugh Society",_MX7jvKoLsM,"48 Minutes of Jimmy O. Yang | Guess How Much?",6986549,111441,2902,2025-05-24T15:00:57Z,https://i.ytimg.com/vi/_MX7jvKoLsM/hqdefault.jpg
"Laugh Up Club",TUERjJCw0tE,"Dave Chappelle on Transgender for 25 Minutes straight.",5550239,126099,1507,2021-10-17T12:30:16Z,https://i.ytimg.com/vi/TUERjJCw0tE/hqdefault.jpg
"Laugh Up Club",f3Y4rWf004M,"30 min of Dave Chappelle.",2502186,24153,1910,2020-08-09T16:39:51Z,https://i.ytimg.com/vi/f3Y4rWf004M/hqdefault.jpg
"Lucas Zelnick",hEMJQakG6x8,"Netflix Is A Joke Full Crowd Work Special | Lucas Zelnick Stand Up Comedy Crowd Work",306678,13840,1875,2026-06-01T16:00:06Z,https://i.ytimg.com/vi/hEMJQakG6x8/hqdefault.jpg
"Lucas Zelnick",hcLcw8LJF4E,"The Algorithm Hates These Topics | Lucas Zelnick Stand Up Comedy Crowd Work",188955,7037,1271,2025-09-22T19:00:43Z,https://i.ytimg.com/vi/hcLcw8LJF4E/hqdefault.jpg
"Lucas Zelnick",W4nTFxTeiX4,"Best Crowd Work of 2025 - Part 1 | Lucas Zelnick Stand Up Comedy",177081,4759,1640,2025-06-16T16:00:51Z,https://i.ytimg.com/vi/W4nTFxTeiX4/hqdefault.jpg
"Madhur Virli",PPjYWaqCffQ,"The IIT Dream | Stand Up Comedy Special by Madhur Virli",10841597,319391,4346,2024-06-08T19:45:06Z,https://i.ytimg.com/vi/PPjYWaqCffQ/hqdefault.jpg
"Madhur Virli",ONiMILytYok,"LOVE & LATEX | Stand Up Comedy by Madhur Virli",5218501,169869,1677,2024-02-03T05:00:09Z,https://i.ytimg.com/vi/ONiMILytYok/hqdefault.jpg
"Madhur Virli",X035AnATXfQ,"MasterPeace | Stand Up Comedy Special by Madhur Virli",4279351,170561,5625,2026-04-01T04:32:32Z,https://i.ytimg.com/vi/X035AnATXfQ/hqdefault.jpg
"Madhur Virli",weegmDivgrk,"Fifty Shades of Gay | Stand Up Comedy by Madhur Virli",3882478,132007,1449,2025-04-05T10:31:49Z,https://i.ytimg.com/vi/weegmDivgrk/hqdefault.jpg
"Madhur Virli - RAW",hDopzusS4s0,"Heckler Emo Girl Shouts *BAKWAS SHOW* | Bakwas Stand Up Comedy by Madhur Virli",2274512,86961,1281,2024-10-30T23:36:28Z,https://i.ytimg.com/vi/hDopzusS4s0/hqdefault.jpg
"Manhar Seth",2g93525nrOs,"ManHarsh - The Pookies | Crowdwork | Manhar Seth Ft. Harsh Gujral ",2309739,51612,3485,2026-01-03T13:31:32Z,https://i.ytimg.com/vi/2g93525nrOs/hqdefault.jpg
"Matt Rife",qmGWKB5sxbE,"MATT RIFE ROASTS LOS ANGELES | crowdwork compilation",2125564,30730,1851,2025-05-12T17:27:26Z,https://i.ytimg.com/vi/qmGWKB5sxbE/hqdefault.jpg
"Matt Rife",v1uuDwSg1II,"EURO TRIP COMPILATION | Matt Rife crowd work",659056,11632,3737,2026-06-09T19:14:49Z,https://i.ytimg.com/vi/v1uuDwSg1II/hqdefault.jpg
"Max Amini",Oy2QyPQ5L5M,"Max Amini FULL COMEDY SPECIAL 2025 | ""Randomly Selected"" | Stand Up Comedy",18999815,228678,3000,2025-02-05T16:30:11Z,https://i.ytimg.com/vi/Oy2QyPQ5L5M/hqdefault.jpg
"Max Amini",RHenOJXqu3I,"Indian Love w/ Zakir Khan | Wild Truth Ep. 013",1392722,31308,3076,2025-08-02T13:54:00Z,https://i.ytimg.com/vi/RHenOJXqu3I/hqdefault.jpg
